Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
SIR,42.6054,-86.8191,-84.5004,SIR-9,AGE_BAR_ELK_ONO_TAT_CUP_FLU_HUG,AGE-SIR_BAR-SIR_ELK-SIR_ONO-SIR_SIR-TAT_CUP-SIR_FLU-SIR_HUG-SIR,AGE-SIR-9_BAR-SIR-9_ELK-SIR-9_ONO-SIR-9_SIR-TAT-9_CUP-SIR-4_FLU-SIR-4_HUG-SIR-4,AGE-9_BAR-9_ELK-9_ONO-9_TAT-9_CUP-4_FLU-4_HUG-4,1,inner,right
JUG,-37.148,-5.14859,81.8093,JUG-5_JUG-6,JOB_RIB_MOP_AHI,JOB-JUG_JUG-RIB_JUG-MOP_AHI-JUG,JOB-JUG-5_JUG-RIB-6_JUG-MOP-6_AHI-JUG-7,JOB-5_RIB-6_MOP-6_AHI-7,0,outer,left
GET,148.19,-11.4376,-38.3741,GET-10,CAB_COP_DAD_FOR_OAK_HIP_RUG_NEW,CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-NEW,CAB-GET-10_COP-GET-10_DAD-GET-10_FOR-GET-10_GET-OAK-10_GET-HIP-10_GET-RUG-10_GET-NEW-10,CAB-10_COP-10_DAD-10_FOR-10_OAK-10_HIP-10_RUG-10_NEW-10,1,inner,right
ROB,126.986,33.3548,-14.515,ROB-10,AMP_CAB_GEL_OAK,AMP-ROB_CAB-ROB_GEL-ROB_OAK-ROB,AMP-ROB-10_CAB-ROB-10_GEL-ROB-10_OAK-ROB-10,AMP-10_CAB-10_GEL-10_OAK-10,0,outer,right
MAC,3.83246,71.2277,64.6732,MAC-11_MAC-7,IRE_POP_AIR,IRE-MAC_MAC-POP_AIR-MAC,AIR-MAC-11_IRE-MAC-7_MAC-POP-7,AIR-11_IRE-7_POP-7,0,outer,mid
AMP,119.286,55.7978,-43.5131,AMP-8_AMP-10,SEX_YAY_SAW_ROB_CAB,AMP-SEX_AMP-YAY_AMP-SAW_AMP-ROB_AMP-CAB,AMP-SEX-10_AMP-ROB-10_AMP-CAB-10_AMP-YAY-8_AMP-SAW-8,SEX-10_ROB-10_CAB-10_YAY-8_SAW-8,1,outer,right
BUG,69.9433,-64.0818,42.8638,BUG-12,ASH_YAK,ASH-BUG_BUG-YAK,ASH-BUG-12_BUG-YAK-12,ASH-12_YAK-12,0,inner,right
GEL,140.39,55.2469,14.8015,GEL-10,EAR_SEX_ROB_MOO_PHI,EAR-GEL_GEL-SEX_GEL-ROB_GEL-MOO_GEL-PHI,EAR-GEL-10_GEL-SEX-10_GEL-ROB-10_GEL-MOO-10_GEL-PHI-10,EAR-10_SEX-10_ROB-10_MOO-10_PHI-8,0,outer,right
FOR,126.588,4.48361,-18.5342,FOR-10,EGG_OAK_GET_RUG_HIP,EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,EGG-FOR-10_FOR-OAK-10_FOR-GET-10_FOR-RUG-10_FOR-HIP-10,EGG-10_OAK-10_GET-10_RUG-10_HIP-10,0,outer,right
TAU,50.9913,-24.3194,68.645,TAU-14_TAU-13_TAU-6,FOG_LAB,FOG-TAU_LAB-TAU,LAB-TAU-13_FOG-TAU-14,LAB-13_FOG-14,0,inner,right
SHY,-129.504,-32.2545,11.0129,SHY-5,BOA_DRY_INK,BOA-SHY_DRY-SHY_INK-SHY,BOA-SHY-5_DRY-SHY-5_INK-SHY-3,BOA-5_DRY-5_INK-3,0,outer,left
WOW,136.746,-60.9882,-15.4188,WOW-10_WOW-9,COP_WIG_HIP,COP-WOW_WIG-WOW_HIP-WOW,COP-WOW-10_HIP-WOW-10_WIG-WOW-9,COP-10_HIP-10_WIG-9,0,inner,right
FOX,-6.378,126.944,-27.27,FOX-2,BOY_SKY_IVY_TUX_TAG,BOY-FOX_FOX-SKY_FOX-IVY_FOX-TUX_FOX-TAG,BOY-FOX-2_FOX-SKY-2_FOX-IVY-2_FOX-TUX-2_FOX-TAG-2,BOY-2_SKY-2_IVY-2_TUX-2_TAG-2,0,outer,left
ZOO,87.09,55.7241,57.8879,ZOO-11,EAR_FAX_JAM_WAS,EAR-ZOO_FAX-ZOO_JAM-ZOO_WAS-ZOO,EAR-ZOO-11_FAX-ZOO-11_JAM-ZOO-11_WAS-ZOO-11,EAR-11_FAX-11_JAM-11_WAS-11,0,outer,right
TRY,25.6938,-43.4852,82.4175,TRY-6,DUH_FOG_LAM,DUH-TRY_FOG-TRY_LAM-TRY,DUH-TRY-6_FOG-TRY-6_LAM-TRY-12,DUH-6_FOG-6_LAM-12,0,outer,right
FOG,27.423,-16.0745,90.4769,FOG-6_FOG-14,TAU_TRY_RIB_OLD,FOG-TAU_FOG-TRY_FOG-RIB_FOG-OLD,FOG-TAU-14_FOG-RIB-14_FOG-OLD-14_FOG-TRY-6,TAU-14_RIB-14_OLD-14_TRY-6,0,outer,right
NOM,-87.3894,84.2549,2.86101,NOM-7_NOM-1_NOM-2,BIO_HIT,BIO-NOM_HIT-NOM,BIO-NOM-1_HIT-NOM-7,BIO-1_HIT-7,0,inner,left
MOP,-31.0652,-44.6714,74.0885,MOP-6,DUH_FAN_JUG_NAN_PLY,DUH-MOP_FAN-MOP_JUG-MOP_MOP-NAN_MOP-PLY,DUH-MOP-6_FAN-MOP-6_JUG-MOP-6_MOP-NAN-6_MOP-PLY-6,DUH-6_FAN-6_JUG-6_NAN-6_PLY-6,0,outer,left
WIZ,-60.5984,-102.868,20.4721,WIZ-4,GIN_SAY_FLY_VOW_ZZZ,GIN-WIZ_SAY-WIZ_FLY-WIZ_VOW-WIZ_WIZ-ZZZ,GIN-WIZ-4_SAY-WIZ-4_FLY-WIZ-5_VOW-WIZ-6_WIZ-ZZZ-4,GIN-4_SAY-4_FLY-5_VOW-6_ZZZ-6,0,outer,left
VOW,-68.1082,-69.8134,30.7147,VOW-6_VOW-5,FUN_WIZ,FUN-VOW_VOW-WIZ,FUN-VOW-5_VOW-WIZ-6,FUN-5_WIZ-4,0,inner,left
MOO,139.514,31.4236,38.0505,MOO-10,DAD_EGG_GEL_JAM,DAD-MOO_EGG-MOO_GEL-MOO_JAM-MOO,DAD-MOO-10_EGG-MOO-10_GEL-MOO-10_JAM-MOO-13,DAD-10_EGG-10_GEL-10_JAM-13,0,outer,right
MOM,-84.5169,-83.484,-66.1485,MOM-3,EGO_LID_MIX_WAX,EGO-MOM_LID-MOM_MIX-MOM_MOM-WAX,EGO-MOM-3_LID-MOM-3_MIX-MOM-3_MOM-WAX-3,EGO-3_LID-3_MIX-3_WAX-3,0,inner,left
INK,-137.349,-56.9781,-18.4169,INK-3,ALA_MAY_RUM_SHY,ALA-INK_INK-MAY_INK-RUM_INK-SHY,ALA-INK-3_INK-MAY-3_INK-RUM-3_INK-SHY-3,ALA-3_MAY-3_RUM-3_SHY-5,0,outer,left
IVY,-7.88969,104.474,-2.38072,IVY-7_IVY-2,FOX_EYE,FOX-IVY_EYE-IVY,FOX-IVY-2_EYE-IVY-7,FOX-2_EYE-7,0,inner,left
NOR,100.102,-79.5307,7.22551,NOR-12_NOR-9,KEY_KIT,KEY-NOR_KIT-NOR,KEY-NOR-12_KIT-NOR-9,KEY-12_KIT-9,0,inner,right
COP,110.588,-40.8,-43.4586,COP-10_COP-9,WOW_USE_TAT_ELK_NEW_GET,COP-WOW_COP-USE_COP-TAT_COP-ELK_COP-NEW_COP-GET,COP-WOW-10_COP-NEW-10_COP-GET-10_COP-USE-9_COP-TAT-9_COP-ELK-9,WOW-10_NEW-10_GET-10_USE-9_TAT-9_ELK-9,1,inner,right
COW,60.2693,64.0599,37.16,COW-11,KEG_FAX,COW-KEG_COW-FAX,COW-KEG-11_COW-FAX-11,KEG-11_FAX-11,0,inner,right
COY,55.8337,-85.3246,1.92647,COY-12_COY-9,KIT_MAD,COY-KIT_COY-MAD,COY-MAD-12_COY-KIT-9,MAD-12_KIT-9,0,inner,right
SUN,-34.5466,116.949,14.7685,SUN-7_SUN-2,HIT_SKY_EYE,HIT-SUN_SKY-SUN_EYE-SUN,SKY-SUN-2_HIT-SUN-7_EYE-SUN-7,SKY-2_HIT-7_EYE-7,0,outer,left
DOG,25.4069,-119.368,-36.5201,DOG-4_DOG-9,BAR_PAW_CHI,BAR-DOG_DOG-PAW_CHI-DOG,DOG-PAW-4_BAR-DOG-9_CHI-DOG-9,PAW-4_BAR-9_CHI-9,0,outer,right
ETA,17.041,107.725,-41.2003,ETA-8_ETA-2,BOY_CIS_BAM_PAY,BOY-ETA_CIS-ETA_BAM-ETA_ETA-PAY,BOY-ETA-2_CIS-ETA-2_BAM-ETA-8_ETA-PAY-8,BOY-2_CIS-2_BAM-8_PAY-8,0,inner,right
ACT,25.0838,-54.815,55.3873,ACT-6_ACT-12,DUH_ASH,ACT-DUH_ACT-ASH,ACT-ASH-12_ACT-DUH-6,ASH-12_DUH-6,0,inner,right
NEW,140.85,-44.5582,-42.5552,NEW-10,COP_GET_HIP_USE,COP-NEW_GET-NEW_HIP-NEW_NEW-USE,COP-NEW-10_GET-NEW-10_HIP-NEW-10_NEW-USE-10,COP-10_GET-10_HIP-10_USE-9,1,outer,right
PIG,126.057,3.98645,47.4696,PIG-10_PIG-13,ALL_JAM,ALL-PIG_JAM-PIG,ALL-PIG-10_JAM-PIG-13,ALL-10_JAM-13,0,inner,right
REF,-98.8048,-32.3722,30.3704,REF-5,BOA_FUN,BOA-REF_FUN-REF,BOA-REF-5_FUN-REF-5,BOA-5_FUN-5,0,inner,left
OLD,67.204,-2.88558,83.3286,OLD-13_OLD-14,HOT_LAB_ZAP_EVE_FOG_LAW,HOT-OLD_LAB-OLD_OLD-ZAP_EVE-OLD_FOG-OLD_LAW-OLD,HOT-OLD-13_LAB-OLD-13_OLD-ZAP-13_EVE-OLD-14_FOG-OLD-14_LAW-OLD-14,HOT-13_LAB-13_ZAP-13_EVE-14_FOG-14_LAW-14,0,outer,right
ZZZ,-42.1668,-86.3803,45.7251,ZZZ-6,FAN_HAM_NAN_WIZ,FAN-ZZZ_HAM-ZZZ_NAN-ZZZ_WIZ-ZZZ,FAN-ZZZ-6_HAM-ZZZ-6_NAN-ZZZ-6_WIZ-ZZZ-4,FAN-6_HAM-6_NAN-6_WIZ-4,0,outer,left
