Pixel_i,Module1,Module2,Inner_Outer,Left_Right_Mid,Node1,Node2,X,Y,Z,Strip
7933,2,2,outer,left,DIG,HIT,-75.71943184911757,109.08699400690887,1.898540743966382,9999
7934,2,2,outer,left,DIG,HIT,-75.41165171627392,109.03747901950385,2.475928049051129,9999
7935,2,2,outer,left,DIG,HIT,-75.10387158343028,108.98796403209883,3.053315354135876,9999
7936,2,2,outer,left,DIG,HIT,-74.79609145058663,108.93844904469381,3.6307026592206233,9999
7937,2,2,outer,left,DIG,HIT,-74.48831131774298,108.8889340572888,4.208089964305371,9999
7938,2,2,outer,left,DIG,HIT,-74.18053118489934,108.83941906988377,4.7854772693901175,9999
7939,2,2,outer,left,DIG,HIT,-73.87275105205569,108.78990408247876,5.362864574474864,9999
7940,2,2,outer,left,DIG,HIT,-73.56497091921204,108.74038909507374,5.940251879559611,9999
7941,2,2,outer,left,DIG,HIT,-73.2571907863684,108.69087410766872,6.5176391846443575,9999
7942,2,2,outer,left,DIG,HIT,-72.94941065352475,108.6413591202637,7.095026489729104,9999
7943,2,2,outer,left,DIG,HIT,-72.6416305206811,108.59184413285868,7.672413794813851,9999
7944,2,2,outer,left,DIG,HIT,-72.33385038783746,108.54232914545366,8.249801099898598,9999
7945,2,2,outer,left,DIG,HIT,-72.02607025499381,108.49281415804865,8.827188404983344,9999
7946,2,2,outer,left,DIG,HIT,-71.71829012215017,108.44329917064363,9.404575710068091,9999
7947,2,2,outer,left,DIG,HIT,-71.41050998930652,108.39378418323861,9.981963015152838,9999
7948,2,2,outer,left,DIG,HIT,-71.10272985646287,108.34426919583359,10.559350320237584,9999
7949,2,2,outer,left,DIG,HIT,-70.79494972361923,108.29475420842857,11.136737625322331,9999
7950,2,2,outer,left,DIG,HIT,-70.48716959077558,108.24523922102355,11.714124930407078,9999
7951,2,2,outer,left,DIG,HIT,-70.17938945793193,108.19572423361853,12.291512235491824,9999
7952,2,2,outer,left,DIG,HIT,-69.87160932508829,108.14620924621352,12.868899540576571,9999
7953,2,2,outer,left,DIG,HIT,-69.56382919224464,108.0966942588085,13.446286845661318,9999
7954,2,2,outer,left,DIG,TUB,-81.91464842984082,110.99262947584639,-12.406295183738756,9999
7955,2,2,outer,left,DIG,TUB,-81.48956024031536,111.3218637277845,-12.78240857448775,9999
7956,2,2,outer,left,DIG,TUB,-81.06447205078989,111.65109797972262,-13.158521965236744,9999
7957,2,2,outer,left,DIG,TUB,-80.63938386126442,111.98033223166074,-13.534635355985738,9999
7958,2,2,outer,left,DIG,TUB,-80.21429567173895,112.30956648359886,-13.910748746734733,9999
7959,2,2,outer,left,DIG,TUB,-79.78920748221348,112.63880073553698,-14.286862137483727,9999
7960,2,2,outer,left,DIG,TUB,-79.36411929268802,112.9680349874751,-14.662975528232721,9999
7961,2,2,outer,left,DIG,TUB,-78.93903110316255,113.29726923941321,-15.039088918981715,9999
7962,2,2,outer,left,DIG,TUB,-78.51394291363708,113.62650349135133,-15.41520230973071,9999
7963,2,2,outer,left,DIG,TUB,-78.08885472411161,113.95573774328945,-15.791315700479704,9999
7964,2,2,outer,left,DIG,TUB,-77.66376653458614,114.28497199522756,-16.167429091228698,9999
7965,2,2,outer,left,DIG,TUB,-77.23867834506068,114.61420624716568,-16.543542481977692,9999
7966,2,2,outer,left,DIG,TUB,-76.81359015553521,114.9434404991038,-16.919655872726686,9999
7967,2,2,outer,left,DIG,TUB,-76.38850196600974,115.27267475104192,-17.29576926347568,9999
7968,2,2,outer,left,DIG,TUB,-75.96341377648427,115.60190900298004,-17.671882654224675,9999
7969,2,2,outer,left,DIG,TUB,-75.5383255869588,115.93114325491815,-18.04799604497367,9999
7970,2,2,outer,left,DIG,TUB,-75.11323739743334,116.26037750685627,-18.424109435722663,9999
7971,2,2,outer,left,DIG,TUB,-74.68814920790787,116.58961175879439,-18.800222826471657,9999
7972,2,2,outer,left,DIG,TUB,-74.2630610183824,116.91884601073251,-19.17633621722065,9999
7973,2,2,outer,left,DIG,TUB,-73.83797282885693,117.24808026267063,-19.552449607969645,9999
7974,2,2,outer,left,DIG,TUB,-73.41288463933147,117.57731451460874,-19.92856299871864,9999
7975,2,2,outer,left,DIG,TUB,-72.987796449806,117.90654876654686,-20.304676389467634,9999
7976,2,2,outer,left,DIG,TUB,-72.56270826028053,118.23578301848498,-20.680789780216628,9999
7977,2,2,outer,left,DIG,TUB,-72.13762007075506,118.5650172704231,-21.056903170965622,9999
7978,2,2,outer,left,DIG,TUB,-71.7125318812296,118.89425152236122,-21.433016561714616,9999
7979,2,2,outer,left,DIG,TUB,-71.28744369170413,119.22348577429933,-21.80912995246361,9999
7980,2,2,outer,left,DIG,TUB,-70.86235550217866,119.55272002623745,-22.185243343212605,9999
7981,2,2,outer,left,DIG,TUB,-70.43726731265319,119.88195427817557,-22.5613567339616,9999
7982,2,2,outer,left,DIG,TUB,-70.01217912312772,120.21118853011369,-22.937470124710593,9999
7983,2,2,outer,left,DIG,TUB,-69.58709093360225,120.5404227820518,-23.313583515459587,9999
7984,2,2,outer,left,DIG,TUB,-69.16200274407679,120.86965703398992,-23.68969690620858,9999
7985,2,2,outer,left,DIG,TUB,-68.73691455455132,121.19889128592804,-24.065810296957576,9999
7986,2,2,outer,left,DIG,TUB,-68.31182636502585,121.52812553786616,-24.44192368770657,9999
7987,2,2,outer,left,DIG,TUB,-67.88673817550038,121.85735978980428,-24.818037078455564,9999
7988,2,2,outer,left,DIG,TUB,-67.46164998597492,122.1865940417424,-25.19415046920456,9999
7989,2,2,outer,left,DIG,TUB,-67.03656179644945,122.51582829368051,-25.570263859953553,9999
7990,2,2,outer,left,DIG,TUB,-66.61147360692398,122.84506254561863,-25.946377250702547,9999
7991,2,2,in_to_out,left,DUI,HIT,-54.00525905774266,106.97481688097123,-6.467612133039989,9999
7992,2,2,in_to_out,left,DUI,HIT,-54.309484377076586,106.99135969907331,-5.886466940795045,9999
7993,2,2,in_to_out,left,DUI,HIT,-54.61370969641051,107.0079025171754,-5.305321748550101,9999
7994,2,2,in_to_out,left,DUI,HIT,-54.91793501574443,107.02444533527748,-4.724176556305157,9999
7995,2,2,in_to_out,left,DUI,HIT,-55.22216033507836,107.04098815337956,-4.143031364060214,9999
7996,2,2,in_to_out,left,DUI,HIT,-55.52638565441228,107.05753097148164,-3.5618861718152695,9999
7997,2,2,in_to_out,left,DUI,HIT,-55.830610973746204,107.07407378958372,-2.9807409795703252,9999
7998,2,2,in_to_out,left,DUI,HIT,-56.13483629308013,107.0906166076858,-2.399595787325381,9999
7999,2,2,in_to_out,left,DUI,HIT,-56.43906161241405,107.10715942578788,-1.8184505950804368,9999
8000,2,2,in_to_out,left,DUI,HIT,-56.743286931747974,107.12370224388997,-1.2373054028354926,9999
8001,2,2,in_to_out,left,DUI,HIT,-57.0475122510819,107.14024506199205,-0.6561602105905485,9999
8002,2,2,in_to_out,left,DUI,HIT,-57.35173757041582,107.15678788009413,-0.07501501834560442,9999
8003,2,2,in_to_out,left,DUI,HIT,-57.655962889749745,107.17333069819621,0.5061301738993397,9999
8004,2,2,in_to_out,left,DUI,HIT,-57.96018820908367,107.18987351629829,1.0872753661442838,9999
8005,2,2,in_to_out,left,DUI,HIT,-58.26441352841759,107.20641633440037,1.668420558389228,9999
8006,2,2,in_to_out,left,DUI,HIT,-58.568638847751515,107.22295915250245,2.249565750634172,9999
8007,2,2,in_to_out,left,DUI,HIT,-58.87286416708544,107.23950197060454,2.8307109428791164,9999
8008,2,2,in_to_out,left,DUI,HIT,-59.17708948641936,107.25604478870662,3.4118561351240606,9999
8009,2,2,in_to_out,left,DUI,HIT,-59.481314805753286,107.2725876068087,3.993001327369005,9999
8010,2,2,in_to_out,left,DUI,HIT,-59.78554012508721,107.28913042491078,4.574146519613949,9999
8011,2,2,in_to_out,left,DUI,HIT,-60.08976544442113,107.30567324301286,5.155291711858893,9999
8012,2,2,in_to_out,left,DUI,HIT,-60.393990763755056,107.32221606111494,5.7364369041038366,9999
8013,2,2,in_to_out,left,DUI,HIT,-60.69821608308898,107.33875887921702,6.31758209634878,9999
8014,2,2,in_to_out,left,DUI,HIT,-61.0024414024229,107.3553016973191,6.898727288593724,9999
8015,2,2,in_to_out,left,DUI,HIT,-61.30666672175683,107.37184451542119,7.479872480838668,9999
8016,2,2,in_to_out,left,DUI,HIT,-61.61089204109075,107.38838733352327,8.061017673083612,9999
8017,2,2,in_to_out,left,DUI,HIT,-61.915117360424674,107.40493015162535,8.642162865328556,9999
8018,2,2,in_to_out,left,DUI,HIT,-62.2193426797586,107.42147296972743,9.223308057573501,9999
8019,2,2,in_to_out,left,DUI,HIT,-62.52356799909252,107.43801578782951,9.804453249818446,9999
8020,2,2,in_to_out,left,DUI,HIT,-62.827793318426444,107.4545586059316,10.38559844206339,9999
8021,2,2,in_to_out,left,DUI,HIT,-63.13201863776037,107.47110142403368,10.966743634308335,9999
8022,2,2,in_to_out,left,DUI,HIT,-63.43624395709429,107.48764424213576,11.54788882655328,9999
8023,2,2,in_to_out,left,DUI,HIT,-63.740469276428215,107.50418706023784,12.129034018798224,9999
8024,2,2,in_to_out,left,DUI,HIT,-64.04469459576214,107.52072987833992,12.710179211043169,9999
8025,2,2,in_to_out,left,DUI,HIT,-64.34891991509606,107.537272696442,13.291324403288113,9999
8026,2,2,in_to_out,left,DUI,TUB,-53.76842748574858,107.87823471773488,-8.870231983503949,9999
8027,2,2,in_to_out,left,DUI,TUB,-53.969051939127695,108.28997345257933,-9.340101632618495,9999
8028,2,2,in_to_out,left,DUI,TUB,-54.16967639250681,108.70171218742378,-9.809971281733041,9999
8029,2,2,in_to_out,left,DUI,TUB,-54.37030084588592,109.11345092226823,-10.279840930847588,9999
8030,2,2,in_to_out,left,DUI,TUB,-54.570925299265035,109.52518965711268,-10.749710579962134,9999
8031,2,2,in_to_out,left,DUI,TUB,-54.77154975264415,109.93692839195712,-11.21958022907668,9999
8032,2,2,in_to_out,left,DUI,TUB,-54.97217420602326,110.34866712680157,-11.689449878191226,9999
8033,2,2,in_to_out,left,DUI,TUB,-55.172798659402375,110.76040586164602,-12.159319527305772,9999
8034,2,2,in_to_out,left,DUI,TUB,-55.37342311278149,111.17214459649047,-12.629189176420319,9999
8035,2,2,in_to_out,left,DUI,TUB,-55.5740475661606,111.58388333133492,-13.099058825534865,9999
8036,2,2,in_to_out,left,DUI,TUB,-55.774672019539715,111.99562206617937,-13.568928474649411,9999
8037,2,2,in_to_out,left,DUI,TUB,-55.97529647291883,112.40736080102381,-14.038798123763957,9999
8038,2,2,in_to_out,left,DUI,TUB,-56.17592092629794,112.81909953586826,-14.508667772878503,9999
8039,2,2,in_to_out,left,DUI,TUB,-56.376545379677054,113.23083827071271,-14.97853742199305,9999
8040,2,2,in_to_out,left,DUI,TUB,-56.57716983305617,113.64257700555716,-15.448407071107596,9999
8041,2,2,in_to_out,left,DUI,TUB,-56.77779428643528,114.0543157404016,-15.918276720222142,9999
8042,2,2,in_to_out,left,DUI,TUB,-56.978418739814394,114.46605447524605,-16.38814636933669,9999
8043,2,2,in_to_out,left,DUI,TUB,-57.17904319319351,114.8777932100905,-16.858016018451234,9999
8044,2,2,in_to_out,left,DUI,TUB,-57.37966764657262,115.28953194493495,-17.32788566756578,9999
8045,2,2,in_to_out,left,DUI,TUB,-57.580292099951734,115.7012706797794,-17.797755316680327,9999
8046,2,2,in_to_out,left,DUI,TUB,-57.78091655333085,116.11300941462385,-18.267624965794873,9999
8047,2,2,in_to_out,left,DUI,TUB,-57.98154100670996,116.5247481494683,-18.73749461490942,9999
8048,2,2,in_to_out,left,DUI,TUB,-58.182165460089074,116.93648688431274,-19.207364264023965,9999
8049,2,2,in_to_out,left,DUI,TUB,-58.38278991346819,117.34822561915719,-19.67723391313851,9999
8050,2,2,in_to_out,left,DUI,TUB,-58.5834143668473,117.75996435400164,-20.147103562253058,9999
8051,2,2,in_to_out,left,DUI,TUB,-58.784038820226414,118.17170308884609,-20.616973211367604,9999
8052,2,2,in_to_out,left,DUI,TUB,-58.98466327360553,118.58344182369053,-21.08684286048215,9999
8053,2,2,in_to_out,left,DUI,TUB,-59.18528772698464,118.99518055853498,-21.556712509596696,9999
8054,2,2,in_to_out,left,DUI,TUB,-59.38591218036375,119.40691929337943,-22.026582158711243,9999
8055,2,2,in_to_out,left,DUI,TUB,-59.58653663374287,119.81865802822388,-22.49645180782579,9999
8056,2,2,in_to_out,left,DUI,TUB,-59.78716108712198,120.23039676306833,-22.966321456940335,9999
8057,2,2,in_to_out,left,DUI,TUB,-59.98778554050109,120.64213549791278,-23.43619110605488,9999
8058,2,2,in_to_out,left,DUI,TUB,-60.18840999388021,121.05387423275722,-23.906060755169428,9999
8059,2,2,in_to_out,left,DUI,TUB,-60.38903444725932,121.46561296760167,-24.375930404283974,9999
8060,2,2,in_to_out,left,DUI,TUB,-60.58965890063843,121.87735170244612,-24.84580005339852,9999
8061,2,2,in_to_out,left,DUI,TUB,-60.79028335401755,122.28909043729057,-25.315669702513066,9999
8062,2,2,in_to_out,left,DUI,TUB,-60.99090780739666,122.70082917213502,-25.785539351627612,9999
8063,2,2,outer,left,FOX,SKY,-7.693141840194777,126.93080626510687,-26.54873176589519,9999
8064,2,2,outer,left,FOX,SKY,-8.268444500859394,126.92503472734863,-26.233216342804468,9999
8065,2,2,outer,left,FOX,SKY,-8.84374716152401,126.9192631895904,-25.917700919713745,9999
8066,2,2,outer,left,FOX,SKY,-9.419049822188628,126.91349165183216,-25.602185496623022,9999
8067,2,2,outer,left,FOX,SKY,-9.994352482853245,126.90772011407392,-25.2866700735323,9999
8068,2,2,outer,left,FOX,SKY,-10.569655143517862,126.90194857631569,-24.971154650441576,9999
8069,2,2,outer,left,FOX,SKY,-11.144957804182479,126.89617703855745,-24.655639227350854,9999
8070,2,2,outer,left,FOX,SKY,-11.720260464847096,126.89040550079922,-24.34012380426013,9999
8071,2,2,outer,left,FOX,SKY,-12.295563125511713,126.88463396304098,-24.024608381169408,9999
8072,2,2,outer,left,FOX,SKY,-12.87086578617633,126.87886242528275,-23.709092958078685,9999
8073,2,2,outer,left,FOX,SKY,-13.446168446840947,126.87309088752451,-23.393577534987962,9999
8074,2,2,outer,left,FOX,SKY,-14.021471107505564,126.86731934976628,-23.07806211189724,9999
8075,2,2,outer,left,FOX,SKY,-14.59677376817018,126.86154781200804,-22.762546688806516,9999
8076,2,2,outer,left,FOX,SKY,-15.172076428834798,126.8557762742498,-22.447031265715793,9999
8077,2,2,outer,left,FOX,SKY,-15.747379089499415,126.85000473649157,-22.13151584262507,9999
8078,2,2,outer,left,FOX,SKY,-16.322681750164033,126.84423319873333,-21.816000419534348,9999
8079,2,2,outer,left,FOX,SKY,-16.897984410828652,126.8384616609751,-21.500484996443625,9999
8080,2,2,outer,left,FOX,SKY,-17.47328707149327,126.83269012321686,-21.1849695733529,9999
8081,2,2,outer,left,FOX,SKY,-18.04858973215789,126.82691858545863,-20.86945415026218,9999
8082,2,2,outer,left,FOX,SKY,-18.62389239282251,126.82114704770039,-20.553938727171456,9999
8083,2,2,outer,left,FOX,SKY,-19.199195053487127,126.81537550994216,-20.238423304080733,9999
8084,2,2,outer,left,FOX,SKY,-19.774497714151746,126.80960397218392,-19.92290788099001,9999
8085,2,2,outer,left,FOX,SKY,-20.349800374816365,126.80383243442569,-19.607392457899287,9999
8086,2,2,outer,left,FOX,SKY,-20.925103035480983,126.79806089666745,-19.291877034808564,9999
8087,2,2,outer,left,FOX,SKY,-21.500405696145602,126.79228935890922,-18.97636161171784,9999
8088,2,2,outer,left,FOX,SKY,-22.07570835681022,126.78651782115098,-18.66084618862712,9999
8089,2,2,outer,left,FOX,SKY,-22.65101101747484,126.78074628339274,-18.345330765536396,9999
8090,2,2,outer,left,FOX,SKY,-23.22631367813946,126.77497474563451,-18.029815342445673,9999
8091,2,2,outer,left,FOX,SKY,-23.801616338804077,126.76920320787627,-17.71429991935495,9999
8092,2,2,outer,left,FOX,SKY,-24.376918999468696,126.76343167011804,-17.398784496264227,9999
8093,2,2,outer,left,FOX,SKY,-24.952221660133315,126.7576601323598,-17.083269073173504,9999
8094,2,2,outer,left,FOX,SKY,-25.527524320797934,126.75188859460157,-16.76775365008278,9999
8095,2,2,outer,left,FOX,SKY,-26.102826981462552,126.74611705684333,-16.45223822699206,9999
8096,2,2,in_to_out,left,FOX,IVY,-6.445554938884896,125.93985267035993,-26.157739027651797,9999
8097,2,2,in_to_out,left,FOX,IVY,-6.4751065316437115,125.50059310702974,-25.67118565584928,9999
8098,2,2,in_to_out,left,FOX,IVY,-6.504658124402527,125.06133354369956,-25.18463228404676,9999
8099,2,2,in_to_out,left,FOX,IVY,-6.534209717161343,124.62207398036938,-24.69807891224424,9999
8100,2,2,in_to_out,left,FOX,IVY,-6.563761309920159,124.1828144170392,-24.211525540441723,9999
8101,2,2,in_to_out,left,FOX,IVY,-6.593312902678975,123.74355485370901,-23.724972168639205,9999
8102,2,2,in_to_out,left,FOX,IVY,-6.622864495437791,123.30429529037883,-23.238418796836687,9999
8103,2,2,in_to_out,left,FOX,IVY,-6.652416088196607,122.86503572704865,-22.75186542503417,9999
8104,2,2,in_to_out,left,FOX,IVY,-6.681967680955423,122.42577616371847,-22.26531205323165,9999
8105,2,2,in_to_out,left,FOX,IVY,-6.711519273714239,121.98651660038828,-21.77875868142913,9999
8106,2,2,in_to_out,left,FOX,IVY,-6.741070866473055,121.5472570370581,-21.292205309626613,9999
8107,2,2,in_to_out,left,FOX,IVY,-6.770622459231871,121.10799747372792,-20.805651937824095,9999
8108,2,2,in_to_out,left,FOX,IVY,-6.800174051990687,120.66873791039774,-20.319098566021577,9999
8109,2,2,in_to_out,left,FOX,IVY,-6.8297256447495025,120.22947834706756,-19.83254519421906,9999
8110,2,2,in_to_out,left,FOX,IVY,-6.859277237508318,119.79021878373737,-19.34599182241654,9999
8111,2,2,in_to_out,left,FOX,IVY,-6.888828830267134,119.35095922040719,-18.85943845061402,9999
8112,2,2,in_to_out,left,FOX,IVY,-6.91838042302595,118.91169965707701,-18.372885078811503,9999
8113,2,2,in_to_out,left,FOX,IVY,-6.947932015784766,118.47244009374683,-17.886331707008985,9999
8114,2,2,in_to_out,left,FOX,IVY,-6.977483608543582,118.03318053041664,-17.399778335206467,9999
8115,2,2,in_to_out,left,FOX,IVY,-7.007035201302398,117.59392096708646,-16.913224963403948,9999
8116,2,2,in_to_out,left,FOX,IVY,-7.036586794061214,117.15466140375628,-16.42667159160143,9999
8117,2,2,in_to_out,left,FOX,IVY,-7.06613838682003,116.7154018404261,-15.940118219798913,9999
8118,2,2,in_to_out,left,FOX,IVY,-7.095689979578846,116.27614227709591,-15.453564847996397,9999
8119,2,2,in_to_out,left,FOX,IVY,-7.125241572337662,115.83688271376573,-14.96701147619388,9999
8120,2,2,in_to_out,left,FOX,IVY,-7.154793165096478,115.39762315043555,-14.480458104391364,9999
8121,2,2,in_to_out,left,FOX,IVY,-7.1843447578552935,114.95836358710537,-13.993904732588847,9999
8122,2,2,in_to_out,left,FOX,IVY,-7.213896350614109,114.51910402377518,-13.50735136078633,9999
8123,2,2,in_to_out,left,FOX,IVY,-7.243447943372925,114.079844460445,-13.020797988983814,9999
8124,2,2,in_to_out,left,FOX,IVY,-7.272999536131741,113.64058489711482,-12.534244617181297,9999
8125,2,2,in_to_out,left,FOX,IVY,-7.302551128890557,113.20132533378464,-12.04769124537878,9999
8126,2,2,in_to_out,left,FOX,IVY,-7.332102721649373,112.76206577045446,-11.561137873576264,9999
8127,2,2,in_to_out,left,FOX,IVY,-7.361654314408189,112.32280620712427,-11.074584501773748,9999
8128,2,2,in_to_out,left,FOX,IVY,-7.391205907167005,111.88354664379409,-10.588031129971231,9999
8129,2,2,in_to_out,left,FOX,IVY,-7.420757499925821,111.44428708046391,-10.101477758168715,9999
8130,2,2,in_to_out,left,FOX,IVY,-7.450309092684637,111.00502751713373,-9.614924386366198,9999
8131,2,2,in_to_out,left,FOX,IVY,-7.479860685443453,110.56576795380354,-9.128371014563681,9999
8132,2,2,in_to_out,left,FOX,IVY,-7.5094122782022685,110.12650839047336,-8.641817642761165,9999
8133,2,2,in_to_out,left,FOX,IVY,-7.5389638709610844,109.68724882714318,-8.155264270958648,9999
8134,2,2,in_to_out,left,FOX,IVY,-7.5685154637199,109.247989263813,-7.668710899156132,9999
8135,2,2,in_to_out,left,FOX,IVY,-7.598067056478716,108.80872970048281,-7.182157527353615,9999
8136,2,2,in_to_out,left,FOX,IVY,-7.627618649237532,108.36947013715263,-6.695604155551099,9999
8137,2,2,outer,mid,FOX,TUX,-5.156382839482377,126.63433025435903,-26.456516034722554,9999
8138,2,2,outer,mid,FOX,TUX,-4.6219921134940245,126.49886666925386,-26.10066127037044,9999
8139,2,2,outer,mid,FOX,TUX,-4.087601387505672,126.36340308414869,-25.744806506018328,9999
8140,2,2,outer,mid,FOX,TUX,-3.5532106615173205,126.22793949904352,-25.388951741666215,9999
8141,2,2,outer,mid,FOX,TUX,-3.0188199355289687,126.09247591393834,-25.033096977314102,9999
8142,2,2,outer,mid,FOX,TUX,-2.484429209540617,125.95701232883317,-24.67724221296199,9999
8143,2,2,outer,mid,FOX,TUX,-1.950038483552265,125.821548743728,-24.321387448609876,9999
8144,2,2,outer,mid,FOX,TUX,-1.4156477575639133,125.68608515862283,-23.965532684257763,9999
8145,2,2,outer,mid,FOX,TUX,-0.8812570315755613,125.55062157351766,-23.60967791990565,9999
8146,2,2,outer,mid,FOX,TUX,-0.34686630558720943,125.41515798841249,-23.253823155553537,9999
8147,2,2,outer,mid,FOX,TUX,0.18752442040114248,125.27969440330732,-22.897968391201424,9999
8148,2,2,outer,mid,FOX,TUX,0.7219151463894944,125.14423081820215,-22.54211362684931,9999
8149,2,2,outer,mid,FOX,TUX,1.2563058723778462,125.00876723309698,-22.186258862497198,9999
8150,2,2,outer,mid,FOX,TUX,1.790696598366198,124.8733036479918,-21.830404098145085,9999
8151,2,2,outer,mid,FOX,TUX,2.32508732435455,124.73784006288663,-21.47454933379297,9999
8152,2,2,outer,mid,FOX,TUX,2.8594780503429016,124.60237647778146,-21.11869456944086,9999
8153,2,2,outer,mid,FOX,TUX,3.3938687763312534,124.46691289267629,-20.762839805088745,9999
8154,2,2,outer,mid,FOX,TUX,3.928259502319605,124.33144930757112,-20.406985040736632,9999
8155,2,2,outer,mid,FOX,TUX,4.462650228307957,124.19598572246595,-20.05113027638452,9999
8156,2,2,outer,mid,FOX,TUX,4.99704095429631,124.06052213736078,-19.695275512032406,9999
8157,2,2,outer,mid,FOX,TUX,5.531431680284662,123.9250585522556,-19.339420747680293,9999
8158,2,2,outer,mid,FOX,TUX,6.065822406273014,123.78959496715044,-18.98356598332818,9999
8159,2,2,outer,mid,FOX,TUX,6.600213132261366,123.65413138204526,-18.627711218976067,9999
8160,2,2,outer,mid,FOX,TUX,7.134603858249719,123.5186677969401,-18.271856454623954,9999
8161,2,2,outer,mid,FOX,TUX,7.668994584238071,123.38320421183492,-17.91600169027184,9999
8162,2,2,outer,mid,FOX,TUX,8.203385310226423,123.24774062672975,-17.560146925919728,9999
8163,2,2,outer,mid,FOX,TUX,8.737776036214775,123.11227704162458,-17.204292161567615,9999
8164,2,2,outer,mid,FOX,TUX,9.272166762203128,122.97681345651941,-16.848437397215502,9999
8165,2,2,outer,mid,FOX,TUX,9.80655748819148,122.84134987141424,-16.49258263286339,9999
8166,2,2,outer,mid,FOX,TUX,10.340948214179832,122.70588628630907,-16.136727868511276,9999
8167,2,2,outer,mid,FOX,TUX,10.875338940168184,122.5704227012039,-15.780873104159163,9999
8168,2,2,outer,mid,FOX,TUX,11.409729666156537,122.43495911609872,-15.42501833980705,9999
8169,2,2,outer,mid,FOX,TUX,11.944120392144889,122.29949553099355,-15.069163575454937,9999
