Pixel_i,Module1,Module2,Inner_Outer,Left_Right_Mid,Node1,Node2,X,Y,Z,Strip
852,1,1,in_to_out,left,ELK,USE,-66.33958503116422,-91.8821290954815,-40.24863262348136,1
853,1,1,in_to_out,left,ELK,USE,-66.15355998469158,-92.42614557639509,-40.56485595406159,1
854,1,1,in_to_out,left,ELK,USE,-65.96753493821895,-92.97016205730867,-40.88107928464182,1
855,1,1,in_to_out,left,ELK,USE,-65.78150989174631,-93.51417853822225,-41.19730261522205,1
856,1,1,in_to_out,left,ELK,USE,-65.59548484527367,-94.05819501913584,-41.51352594580228,1
857,1,1,in_to_out,left,ELK,USE,-65.40945979880104,-94.60221150004942,-41.82974927638251,1
858,1,1,in_to_out,left,ELK,USE,-65.2234347523284,-95.146227980963,-42.14597260696274,1
859,1,1,in_to_out,left,ELK,USE,-65.03740970585577,-95.69024446187659,-42.462195937542965,1
860,1,1,in_to_out,left,ELK,USE,-64.85138465938313,-96.23426094279017,-42.778419268123194,1
861,1,1,in_to_out,left,ELK,USE,-64.66535961291049,-96.77827742370376,-43.09464259870342,1
862,1,1,in_to_out,left,ELK,USE,-64.47933456643786,-97.32229390461734,-43.41086592928365,1
863,1,1,in_to_out,left,ELK,USE,-64.29330951996522,-97.86631038553092,-43.72708925986388,1
864,1,1,inner,left,ELK,SIR,-71.56101626352917,-76.43438645711382,-32.97815935668703,1
865,1,1,inner,left,ELK,SIR,-71.68373414833081,-75.99959328857629,-33.45402873536872,1
866,1,1,inner,left,ELK,SIR,-71.80645203313246,-75.56480012003877,-33.92989811405042,1
867,1,1,inner,left,ELK,SIR,-71.9291699179341,-75.13000695150124,-34.40576749273211,1
868,1,1,inner,left,ELK,SIR,-72.05188780273575,-74.69521378296372,-34.881636871413804,1
869,1,1,inner,left,ELK,SIR,-72.1746056875374,-74.2604206144262,-35.3575062500955,1
870,1,1,inner,left,ELK,SIR,-72.29732357233904,-73.82562744588867,-35.83337562877719,1
871,1,1,inner,left,ELK,SIR,-72.42004145714068,-73.39083427735115,-36.309245007458884,1
872,1,1,inner,left,ELK,SIR,-72.54275934194233,-72.95604110881362,-36.78511438614058,1
873,1,1,inner,left,ELK,SIR,-72.66547722674397,-72.5212479402761,-37.26098376482227,1
874,1,1,inner,left,ELK,SIR,-72.78819511154562,-72.08645477173857,-37.736853143503964,1
875,1,1,inner,left,ELK,SIR,-72.91091299634726,-71.65166160320105,-38.21272252218566,1
876,1,1,inner,left,ELK,SIR,-73.03363088114891,-71.21686843466352,-38.68859190086735,1
877,1,1,inner,left,ELK,SIR,-73.15634876595055,-70.782075266126,-39.164461279549045,1
878,1,1,inner,left,ELK,SIR,-73.2790666507522,-70.34728209758848,-39.64033065823074,1
