module,distinct_receivernodes,recievers_overall,bars_remaining,jumps,groundnode_utilization,num_alternative_startnodes,mapping_name,filenamestr
1,5,6,2,0,1,0,mapping_282,possible_mappings_2016/160810_5/M1_R5_6_B2_J0_G1_232116_A0_mapping_282.json
1,6,6,3,0,3,0,mapping_543,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G3_232117_A0_mapping_543.json
1,5,6,3,0,3,0,mapping_894,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G3_232117_A0_mapping_894.json
1,6,6,2,0,2,0,mapping_1568,possible_mappings_2016/160810_5/M1_R6_6_B2_J0_G2_232118_A0_mapping_1568.json
1,6,6,3,0,3,0,mapping_1609,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G3_232118_A0_mapping_1609.json
1,6,6,3,0,2,0,mapping_1906,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232118_A0_mapping_1906.json
1,5,6,3,0,1,0,mapping_2715,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G1_232119_A0_mapping_2715.json
1,6,6,3,0,1,0,mapping_3482,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G1_232120_A0_mapping_3482.json
1,5,6,3,0,1,0,mapping_4709,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G1_232122_A0_mapping_4709.json
1,6,6,2,0,1,0,mapping_4777,possible_mappings_2016/160810_5/M1_R6_6_B2_J0_G1_232122_A0_mapping_4777.json
1,5,6,3,0,3,0,mapping_5429,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G3_232123_A0_mapping_5429.json
1,6,6,3,0,3,0,mapping_5906,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G3_232123_A0_mapping_5906.json
1,6,6,3,0,2,0,mapping_7178,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232125_A0_mapping_7178.json
1,6,6,3,0,2,0,mapping_7816,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232125_A0_mapping_7816.json
1,6,6,3,0,1,0,mapping_8591,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G1_232126_A0_mapping_8591.json
1,6,6,3,0,2,0,mapping_9889,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232128_A0_mapping_9889.json
1,6,6,3,0,4,0,mapping_10247,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G4_232128_A0_mapping_10247.json
1,6,6,3,0,2,0,mapping_10501,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232129_A0_mapping_10501.json
1,6,6,3,0,2,0,mapping_11433,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232130_A0_mapping_11433.json
1,6,6,3,0,2,0,mapping_12243,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232131_A0_mapping_12243.json
1,6,6,2,0,3,0,mapping_12962,possible_mappings_2016/160810_5/M1_R6_6_B2_J0_G3_232132_A0_mapping_12962.json
1,6,6,3,0,3,0,mapping_13302,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G3_232132_A0_mapping_13302.json
1,6,6,3,0,2,0,mapping_13961,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232133_A0_mapping_13961.json
1,6,6,3,0,0,0,mapping_14481,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G0_232133_A0_mapping_14481.json
1,6,6,3,0,1,0,mapping_14799,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G1_232134_A0_mapping_14799.json
1,6,6,2,0,2,0,mapping_15322,possible_mappings_2016/160810_5/M1_R6_6_B2_J0_G2_232134_A0_mapping_15322.json
1,6,6,3,0,2,0,mapping_15547,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232135_A0_mapping_15547.json
1,6,6,3,0,2,0,mapping_15834,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232135_A0_mapping_15834.json
1,6,6,3,0,3,0,mapping_17369,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G3_232137_A0_mapping_17369.json
1,6,6,3,0,4,0,mapping_17698,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G4_232137_A0_mapping_17698.json
1,6,6,2,0,2,0,mapping_18363,possible_mappings_2016/160810_5/M1_R6_6_B2_J0_G2_232138_A0_mapping_18363.json
1,5,6,3,0,3,0,mapping_19236,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G3_232139_A0_mapping_19236.json
1,6,6,1,0,3,0,mapping_19805,possible_mappings_2016/160810_5/M1_R6_6_B1_J0_G3_232140_A0_mapping_19805.json
1,6,6,3,0,3,0,mapping_20368,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G3_232140_A0_mapping_20368.json
1,6,6,3,0,2,0,mapping_20511,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232141_A0_mapping_20511.json
1,6,6,3,0,2,0,mapping_22706,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232143_A0_mapping_22706.json
1,5,6,3,0,2,0,mapping_23728,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G2_232144_A0_mapping_23728.json
1,6,6,3,0,2,0,mapping_24438,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232145_A0_mapping_24438.json
1,6,6,3,0,3,0,mapping_25296,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G3_232146_A0_mapping_25296.json
1,6,6,3,0,2,0,mapping_25331,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232146_A0_mapping_25331.json
1,5,6,3,0,2,0,mapping_25901,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G2_232147_A0_mapping_25901.json
1,6,6,3,0,4,0,mapping_26029,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G4_232147_A0_mapping_26029.json
1,6,6,2,0,3,0,mapping_27620,possible_mappings_2016/160810_5/M1_R6_6_B2_J0_G3_232149_A0_mapping_27620.json
1,6,6,2,0,2,0,mapping_27683,possible_mappings_2016/160810_5/M1_R6_6_B2_J0_G2_232149_A0_mapping_27683.json
1,6,6,3,0,2,0,mapping_27946,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232150_A0_mapping_27946.json
1,6,6,3,0,2,0,mapping_28672,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G2_232150_A0_mapping_28672.json
1,6,6,3,0,1,0,mapping_29033,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G1_232151_A0_mapping_29033.json
1,6,6,3,0,0,0,mapping_29444,possible_mappings_2016/160810_5/M1_R6_6_B3_J0_G0_232151_A0_mapping_29444.json
1,5,6,3,0,2,0,mapping_29508,possible_mappings_2016/160810_5/M1_R5_6_B3_J0_G2_232151_A0_mapping_29508.json
2,6,6,3,0,2,0,mapping_16,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G2_232152_A0_mapping_16.json
2,5,6,3,0,0,0,mapping_56,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G0_232152_A0_mapping_56.json
2,6,6,3,0,0,0,mapping_316,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G0_232152_A0_mapping_316.json
2,6,6,3,0,1,0,mapping_391,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232152_A0_mapping_391.json
2,6,6,3,0,1,0,mapping_745,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232153_A0_mapping_745.json
2,6,6,3,0,1,0,mapping_767,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232153_A0_mapping_767.json
2,6,6,3,0,1,0,mapping_1050,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232153_A0_mapping_1050.json
2,6,6,3,0,2,0,mapping_1294,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G2_232154_A0_mapping_1294.json
2,6,6,2,0,0,0,mapping_1511,possible_mappings_2016/160810_5/M2_R6_6_B2_J0_G0_232154_A0_mapping_1511.json
2,5,6,3,0,1,0,mapping_1694,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G1_232154_A0_mapping_1694.json
2,6,6,0,0,2,0,mapping_2046,possible_mappings_2016/160810_5/M2_R6_6_B0_J0_G2_232154_A0_mapping_2046.json
2,6,6,3,0,1,0,mapping_2240,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232155_A0_mapping_2240.json
2,5,6,3,0,1,0,mapping_2408,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G1_232155_A0_mapping_2408.json
2,6,6,3,0,1,0,mapping_2670,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232155_A0_mapping_2670.json
2,6,6,3,0,2,0,mapping_2676,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G2_232155_A0_mapping_2676.json
2,6,6,2,0,1,0,mapping_2973,possible_mappings_2016/160810_5/M2_R6_6_B2_J0_G1_232155_A0_mapping_2973.json
2,6,6,3,0,1,0,mapping_3236,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232156_A0_mapping_3236.json
2,6,6,1,0,1,0,mapping_3323,possible_mappings_2016/160810_5/M2_R6_6_B1_J0_G1_232156_A0_mapping_3323.json
2,5,6,3,0,0,0,mapping_3348,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G0_232156_A0_mapping_3348.json
2,5,6,2,0,1,0,mapping_3524,possible_mappings_2016/160810_5/M2_R5_6_B2_J0_G1_232156_A0_mapping_3524.json
2,6,6,3,0,3,0,mapping_3606,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G3_232156_A0_mapping_3606.json
2,5,6,3,0,2,0,mapping_4098,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G2_232157_A0_mapping_4098.json
2,6,6,3,0,1,0,mapping_4128,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232157_A0_mapping_4128.json
2,6,6,1,0,1,0,mapping_4310,possible_mappings_2016/160810_5/M2_R6_6_B1_J0_G1_232157_A0_mapping_4310.json
2,5,6,3,0,1,0,mapping_4455,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G1_232157_A0_mapping_4455.json
2,6,6,3,0,1,0,mapping_4502,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232157_A0_mapping_4502.json
2,6,6,3,0,1,0,mapping_4600,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232157_A0_mapping_4600.json
2,6,6,3,0,2,0,mapping_4921,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G2_232158_A0_mapping_4921.json
2,6,6,3,0,1,0,mapping_4953,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232158_A0_mapping_4953.json
2,6,6,2,0,1,0,mapping_5127,possible_mappings_2016/160810_5/M2_R6_6_B2_J0_G1_232158_A0_mapping_5127.json
2,6,6,2,0,1,0,mapping_5554,possible_mappings_2016/160810_5/M2_R6_6_B2_J0_G1_232159_A0_mapping_5554.json
2,6,6,2,0,1,0,mapping_6399,possible_mappings_2016/160810_5/M2_R6_6_B2_J0_G1_232200_A0_mapping_6399.json
2,6,6,2,0,0,0,mapping_7045,possible_mappings_2016/160810_5/M2_R6_6_B2_J0_G0_232200_A0_mapping_7045.json
2,6,6,3,0,1,0,mapping_7061,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232200_A0_mapping_7061.json
2,6,6,3,0,2,0,mapping_7307,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G2_232201_A0_mapping_7307.json
2,6,6,3,0,1,0,mapping_7309,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G1_232201_A0_mapping_7309.json
2,6,6,3,0,2,0,mapping_7532,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G2_232201_A0_mapping_7532.json
2,5,6,3,0,0,0,mapping_7904,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G0_232201_A0_mapping_7904.json
2,6,6,2,0,0,0,mapping_8337,possible_mappings_2016/160810_5/M2_R6_6_B2_J0_G0_232202_A0_mapping_8337.json
2,5,6,3,0,0,0,mapping_8346,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G0_232202_A0_mapping_8346.json
2,5,6,3,0,0,0,mapping_9089,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G0_232203_A0_mapping_9089.json
2,6,6,3,0,0,0,mapping_9318,possible_mappings_2016/160810_5/M2_R6_6_B3_J0_G0_232203_A0_mapping_9318.json
2,5,6,3,0,1,0,mapping_9821,possible_mappings_2016/160810_5/M2_R5_6_B3_J0_G1_232204_A0_mapping_9821.json
