Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
PAW,-109.0096853,13.50551979,-30.36475264,DEPRECATED,BED_CUP_DAY_DOG_GYM_SAY_ZIG_VAN,BED-PAW_CUP-PAW_DAY-PAW_DOG-PAW_GYM-PAW_PAW-SAY_PAW-ZIG_PAW-VAN,DEPRECATED,DEPRECATED,0,outer,left
TAX,-92.00608531,64.78612979,-7.708392644,DEPRECATED,AGO_DAY_FLY_GIN_GYM_MOM_OAR_OIL_SAY_WIZ_VOW_ZIG,AGO-TAX_DAY-TAX_FLY-TAX_GIN-TAX_GYM-TAX_MOM-TAX_OAR-TAX_OIL-TAX_SAY-TAX_TAX-WIZ_TAX-VOW_TAX-ZIG,DEPRECATED,DEPRECATED,0,inner,left
PIE,18.29291469,126.9045198,-23.74517264,DEPRECATED,ELF_GAL_HOW_NIX_OVA_RAD_RUM_SPY,ELF-PIE_GAL-PIE_HOW-PIE_NIX-PIE_OVA-PIE_PIE-RAD_PIE-RUM_PIE-SPY,DEPRECATED,DEPRECATED,1,inner,right
PIG,4.566914689,-115.0268802,38.66737736,DEPRECATED,ALL_DAD_EAR_EGG_GOO_HOT_JAM_LIE_MOO_RUG_ZAP_PRO,ALL-PIG_DAD-PIG_EAR-PIG_EGG-PIG_GOO-PIG_HOT-PIG_JAM-PIG_LIE-PIG_MOO-PIG_PIG-RUG_PIG-ZAP_PIG-PRO,DEPRECATED,DEPRECATED,0,inner,mid
RAW,75.89891469,106.4239198,-54.67726264,DEPRECATED,FRO_GUN_JOY_LEG_SPY_WHO,FRO-RAW_GUN-RAW_JOY-RAW_LEG-RAW_RAW-SPY_RAW-WHO,DEPRECATED,DEPRECATED,0,outer,right
JOB,5.609914689,67.06567979,64.22097736,DEPRECATED,ADO_NAY_NIL_JUG_TOY_PLY,ADO-JOB_JOB-NAY_JOB-NIL_JOB-JUG_JOB-TOY_JOB-PLY,DEPRECATED,DEPRECATED,0,outer,mid
TAG,99.25791469,30.96896979,-47.87125264,DEPRECATED,ASK_BOY_CIS_DUI_ETA_FOX_GUN_IVY_OFF_ORC_SKY_TUB,ASK-TAG_BOY-TAG_CIS-TAG_DUI-TAG_ETA-TAG_FOX-TAG_GUN-TAG_IVY-TAG_OFF-TAG_ORC-TAG_SKY-TAG_TAG-TUB,DEPRECATED,DEPRECATED,0,inner,right
DRY,-55.24468531,92.80521979,30.87727736,DEPRECATED,OIL_VOW_REF_SHY_FLY_FUN,DRY-OIL_DRY-VOW_DRY-REF_DRY-SHY_DRY-FLY_DRY-FUN,DEPRECATED,DEPRECATED,0,outer,left
RIB,3.605914689,-3.717764215,80.88867736,DEPRECATED,ERA_FOG_IRE_JUG_LAW_SOY,ERA-RIB_FOG-RIB_IRE-RIB_JUG-RIB_LAW-RIB_RIB-SOY,DEPRECATED,DEPRECATED,0,outer,mid
VAN,-108.6478853,17.78439979,-65.90712164,DEPRECATED,BOX_CUP_FLU_GYM_HUG_PAW,BOX-VAN_CUP-VAN_FLU-VAN_GYM-VAN_HUG-VAN_PAW-VAN,DEPRECATED,DEPRECATED,0,outer,left
