Bar_name,Module,Min_X,Min_Y,Min_Z,Max_X,Max_Y,Max_Z,Nodes,Physical_Bars,Physical_Nodes,Adjacent_Nodes,Adjacent_Physical_Bars,Adjacent_Bars,Adjacent_Physical_Nodes,Ground,Inner_Outer,Left_Right_Mid
COP-ELK,1,-71.27318531,-102.0463802,-38.18104264,-40.06518531,-77.45418021,-31.86202264,COP_ELK,DEPRECATED,DEPRECATED,WOW_USE_NEW_TAT_GET_ELK_AGE_COP_COY_WIG_SIR_NOR_USE_KIT_TAT_WOW_ONO,DEPRECATED,COP-WOW_COP-USE_COP-NEW_COP-TAT_COP-GET_COP-ELK_AGE-ELK_COP-ELK_COY-ELK_ELK-WIG_ELK-SIR_ELK-NOR_ELK-USE_ELK-KIT_ELK-TAT_ELK-WOW_ELK-ONO,DEPRECATED,0,inner,left
ELK-TAT,1,-71.27318531,-77.45418021,-67.06360264,-54.99058531,-68.70018021,-31.86202264,ELK_TAT,DEPRECATED,DEPRECATED,COP_ELK_ONO_SIR_USE_AGE_COP_COY_WIG_SIR_NOR_USE_KIT_TAT_WOW_ONO,DEPRECATED,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT_TAT-USE_AGE-ELK_COP-ELK_COY-ELK_ELK-WIG_ELK-SIR_ELK-NOR_ELK-USE_ELK-KIT_ELK-TAT_ELK-WOW_ELK-ONO,DEPRECATED,0,inner,left
ONO-TAT,1,-86.13378531,-68.70018021,-67.06360264,-54.99058531,-64.07118021,-56.52309264,ONO_TAT,DEPRECATED,DEPRECATED,COP_ELK_ONO_SIR_USE_AGE_BAR_ELK_KIT_SIR_USE_TAT,DEPRECATED,COP-TAT_ELK-TAT_ONO-TAT_SIR-TAT_TAT-USE_AGE-ONO_BAR-ONO_ELK-ONO_KIT-ONO_ONO-SIR_ONO-USE_ONO-TAT,DEPRECATED,1,in_to_out,left
ONO-USE,1,-86.13378531,-99.78188021,-56.52309264,-63.63828531,-64.07118021,-44.84056264,ONO_USE,DEPRECATED,DEPRECATED,COP_ELK_NEW_ONO_TAT_WOW_WIG_AGE_BAR_ELK_KIT_SIR_USE_TAT,DEPRECATED,COP-USE_ELK-USE_NEW-USE_ONO-USE_TAT-USE_USE-WOW_USE-WIG_AGE-ONO_BAR-ONO_ELK-ONO_KIT-ONO_ONO-SIR_ONO-USE_ONO-TAT,DEPRECATED,0,outer,left
NEW-USE,1,-63.63828531,-128.0658802,-44.84056264,-43.07138531,-99.78188021,-37.50233264,NEW_USE,DEPRECATED,DEPRECATED,COP_GET_HIP_WOW_USE_COP_ELK_NEW_ONO_TAT_WOW_WIG,DEPRECATED,COP-NEW_GET-NEW_HIP-NEW_NEW-WOW_NEW-USE_COP-USE_ELK-USE_NEW-USE_ONO-USE_TAT-USE_USE-WOW_USE-WIG,DEPRECATED,0,outer,left
COP-NEW,1,-43.07138531,-128.0658802,-38.18104264,-40.06518531,-102.0463802,-37.50233264,COP_NEW,DEPRECATED,DEPRECATED,WOW_USE_NEW_TAT_GET_ELK_COP_GET_HIP_WOW_USE,DEPRECATED,COP-WOW_COP-USE_COP-NEW_COP-TAT_COP-GET_COP-ELK_COP-NEW_GET-NEW_HIP-NEW_NEW-WOW_NEW-USE,DEPRECATED,1,in_to_out,left
COP-USE,1,-63.63828531,-102.0463802,-44.84056264,-40.06518531,-99.78188021,-38.18104264,COP_USE,DEPRECATED,DEPRECATED,WOW_USE_NEW_TAT_GET_ELK_COP_ELK_NEW_ONO_TAT_WOW_WIG,DEPRECATED,COP-WOW_COP-USE_COP-NEW_COP-TAT_COP-GET_COP-ELK_COP-USE_ELK-USE_NEW-USE_ONO-USE_TAT-USE_USE-WOW_USE-WIG,DEPRECATED,0,in_to_out,left
ELK-USE,1,-71.27318531,-99.78188021,-44.84056264,-63.63828531,-77.45418021,-31.86202264,ELK_USE,DEPRECATED,DEPRECATED,AGE_COP_COY_WIG_SIR_NOR_USE_KIT_TAT_WOW_ONO_COP_ELK_NEW_ONO_TAT_WOW_WIG,DEPRECATED,AGE-ELK_COP-ELK_COY-ELK_ELK-WIG_ELK-SIR_ELK-NOR_ELK-USE_ELK-KIT_ELK-TAT_ELK-WOW_ELK-ONO_COP-USE_ELK-USE_NEW-USE_ONO-USE_TAT-USE_USE-WOW_USE-WIG,DEPRECATED,0,in_to_out,left
ELK-SIR,1,-82.40258531,-77.45418021,-75.01906264,-71.27318531,-38.02238021,-31.86202264,ELK_SIR,DEPRECATED,DEPRECATED,AGE_COP_COY_WIG_SIR_NOR_USE_KIT_TAT_WOW_ONO_AGE_BAR_CUP_ELK_FLU_HUG_ONO_TAT,DEPRECATED,AGE-ELK_COP-ELK_COY-ELK_ELK-WIG_ELK-SIR_ELK-NOR_ELK-USE_ELK-KIT_ELK-TAT_ELK-WOW_ELK-ONO_AGE-SIR_BAR-SIR_CUP-SIR_ELK-SIR_FLU-SIR_HUG-SIR_ONO-SIR_SIR-TAT,DEPRECATED,0,inner,left
ONO-SIR,1,-86.13378531,-64.07118021,-75.01906264,-82.40258531,-38.02238021,-56.52309264,ONO_SIR,DEPRECATED,DEPRECATED,AGE_BAR_CUP_ELK_FLU_HUG_ONO_TAT_AGE_BAR_ELK_KIT_SIR_USE_TAT,DEPRECATED,AGE-SIR_BAR-SIR_CUP-SIR_ELK-SIR_FLU-SIR_HUG-SIR_ONO-SIR_SIR-TAT_AGE-ONO_BAR-ONO_ELK-ONO_KIT-ONO_ONO-SIR_ONO-USE_ONO-TAT,DEPRECATED,1,in_to_out,left
FOR-GET,1,-12.52008531,-153.0888802,-31.72499264,-3.312085311,-135.3728802,-7.293152644,FOR_GET,DEPRECATED,DEPRECATED,DAD_EGG_OAK_GET_RUG_HIP_CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,DEPRECATED,DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP_CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,0,in_to_out,mid
FOR-RUG,1,-20.53078531,-153.0888802,-7.293152644,-3.312085311,-140.2008802,10.48160736,FOR_RUG,DEPRECATED,DEPRECATED,ALL_DAD_EGG_FOR_GET_GOO_HIP_PIG_SAD_WOW_DAD_EGG_OAK_GET_RUG_HIP,DEPRECATED,ALL-RUG_DAD-RUG_EGG-RUG_FOR-RUG_GET-RUG_GOO-RUG_HIP-RUG_PIG-RUG_RUG-SAD_RUG-WOW_DAD-FOR_EGG-FOR_FOR-OAK_FOR-GET_FOR-RUG_FOR-HIP,DEPRECATED,0,in_to_out,mid
ALL-RUG,1,-22.19968531,-140.2008802,10.48160736,-20.53078531,-131.3098802,36.77397736,ALL_RUG,DEPRECATED,DEPRECATED,PRO_GOO_EGG_SAD_RUG_PIG_ALL_DAD_EGG_FOR_GET_GOO_HIP_PIG_SAD_WOW,DEPRECATED,ALL-PRO_ALL-GOO_ALL-EGG_ALL-SAD_ALL-RUG_ALL-PIG_ALL-RUG_DAD-RUG_EGG-RUG_FOR-RUG_GET-RUG_GOO-RUG_HIP-RUG_PIG-RUG_RUG-SAD_RUG-WOW,DEPRECATED,0,in_to_out,left
ALL-SAD,1,-48.25568531,-136.1468802,15.25143736,-22.19968531,-131.3098802,36.77397736,ALL_SAD,DEPRECATED,DEPRECATED,PRO_GOO_EGG_SAD_RUG_PIG_ALL_GOO_HIP_KEY_RUG_WOW,DEPRECATED,ALL-PRO_ALL-GOO_ALL-EGG_ALL-SAD_ALL-RUG_ALL-PIG_ALL-SAD_GOO-SAD_HIP-SAD_KEY-SAD_RUG-SAD_SAD-WOW,DEPRECATED,0,outer,left
HIP-SAD,1,-48.25568531,-147.4638802,-13.17470264,-34.37648531,-136.1468802,15.25143736,HIP_SAD,DEPRECATED,DEPRECATED,FOR_GET_SAD_WOW_RUG_NEW_ALL_GOO_HIP_KEY_RUG_WOW,DEPRECATED,FOR-HIP_GET-HIP_HIP-SAD_HIP-WOW_HIP-RUG_HIP-NEW_ALL-SAD_GOO-SAD_HIP-SAD_KEY-SAD_RUG-SAD_SAD-WOW,DEPRECATED,0,outer,left
GET-HIP,1,-34.37648531,-147.4638802,-31.72499264,-12.52008531,-135.3728802,-13.17470264,GET_HIP,DEPRECATED,DEPRECATED,FOR_GET_SAD_WOW_RUG_NEW_CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,DEPRECATED,FOR-HIP_GET-HIP_HIP-SAD_HIP-WOW_HIP-RUG_HIP-NEW_CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,0,in_to_out,left
GET-OAK,1,-12.52008531,-142.3818802,-31.72499264,16.99991469,-135.3728802,-26.66752264,GET_OAK,DEPRECATED,DEPRECATED,CAB_DAD_FOR_GET_ROB_CAB_COP_DAD_FOR_OAK_HIP_RUG_WOW_NEW,DEPRECATED,CAB-OAK_DAD-OAK_FOR-OAK_GET-OAK_OAK-ROB_CAB-GET_COP-GET_DAD-GET_FOR-GET_GET-OAK_GET-HIP_GET-RUG_GET-WOW_GET-NEW,DEPRECATED,1,in_to_out,mid
