jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
GET,FOR,"GET,FOR",get,maw,"get,maw",35 1/4,35.25,621,
DAD,GEL,"DAD,GEL",dad,men,"dad,men",35 1/4,35.25,447,
VOW,FAN,"VOW,FAN",dab,tow,"dab,tow",35 3/8,35.375,149,
FIG,KEY,"FIG,KEY",hat,man,"hat,man",35 3/8,35.375,353,
EAR,GEL,"EAR,GEL",lye,men,"lye,men",35 3/8,35.375,308,
HOT,PRO,"HOT,PRO",hog,pro,"hog,pro",35 3/8,35.375,253,
BUG,YAK,"BUG,YAK",tap,til,"tap,til",35 5/8,35.625,179,
LID,BOX,"LID,BOX",lid,mit,"lid,mit",35 3/4,35.75,682,
ROB,AMP,"ROB,AMP",din,amp,"din,amp",36,36,629,
COW,ODD,"COW,ODD",cow,dug,"cow,dug",36 1/4,36.25,260,
SIR,FLU,"SIR,FLU",lop,map,"lop,map",36 7/8,36.875,670,
SAD,HIP,"SAD,HIP",did,hip,"did,hip",37 3/8,37.375,500,
ELK,WIG,"ELK,WIG",pit,two,"pit,two",37 1/2,37.5,537,
AGE,KIT,"AGE,KIT",age,any,"age,any",40 1/8,40.125,527,1
ELK,SIR,"ELK,SIR",pit,lop,"pit,lop",63 1/8,63.125,534,
REF,RUM,"REF,RUM",lob,gnu,"lob,gnu",67 7/8,67.875,134,
LAM,LAB,"LAM,LAB",ram,mod,"ram,mod",28.1,28.1,185,
PIG,MOO,"PIG,MOO",pig,dot,"pig,dot",33.5,33.5,251,
PRO,ALL,"PRO,ALL",pro,all,"pro,all",28.5,28.5,300,
VOW,WIZ,"VOW,WIZ",dab,due,"dab,due",35.3,35.3,151,
NIL,TOY,"NIL,TOY",tea,toy,"tea,toy",30.3,30.3,38,
FIX,ODD,"FIX,ODD",pet,dug,"pet,dug",33.6,33.6,235,
LAW,FOG,"LAW,FOG",cot,mat,"cot,mat",30.6,30.6,11,
TAU,OLD,"TAU,OLD",aid,hen,"aid,hen",31,31,60,
FAX,ZOO,"FAX,ZOO",the,are,"the,are",30.7,30.7,265,
GIG,IRE,"GIG,IRE",gig,den,"gig,den",32.3,32.3,94,
NIL,AHI,"NIL,AHI",tea,tug,"tea,tug",31,31,37,
GIN,SAY,"GIN,SAY",gin,top,"gin,top",31.5,31.5,205,
HOW,GAL,"HOW,GAL",cry,mag,"cry,mag",29.6,29.6,228,
LAW,EVE,"LAW,EVE",cot,had,"cot,had",29.8,29.8,9,
LAX,HAM,"LAX,HAM",pew,ham,"pew,ham",31.6,31.6,193,
COW,AIR,"COW,AIR",cow,air,"cow,air",34.5,34.5,258,
REF,HOW,"REF,HOW",lob,cry,"lob,cry",47.6,47.6,132,
LAX,MAD,"LAX,MAD",pew,mad,"pew,mad",31.6,31.6,195,
WET,ACE,"WET,ACE",poi,ace,"poi,ace",46.3,46.3,156,
NAN,GIN,"NAN,GIN",tad,gin,"tad,gin",45.8,45.8,99,
ADO,BOA,"ADO,BOA",ado,tie,"ado,tie",32.5,32.5,70,1
ACT,BUG,"ACT,BUG",act,tap,"act,tap",47.4,47.4,79,1
TAU,LAB,"TAU,LAB",aid,mod,"aid,mod",32.8,32.8,62,
PIG,HOT,"PIG,HOT",pig,hog,"pig,hog",34.4,34.4,249,
FOG,TRY,"FOG,TRY",mat,try,"mat,try",29,29,65,
EVE,FAX,"EVE,FAX",had,the,"had,the",29.2,29.2,131,
WAR,GAL,"WAR,GAL",pow,mag,"pow,mag",29.9,29.9,276,
YES,AHI,"YES,AHI",tab,tug,"tab,tug",33.1,33.1,113,
DUB,ARM,"DUB,ARM",dub,arm,"dub,arm",30.3,30.3,278,
NAY,FUN,"NAY,FUN",asp,him,"asp,him",32.2,32.2,142,
ERA,IRE,"ERA,IRE",aby,den,"aby,den",32.5,32.5,29,1
NAN,DUH,"NAN,DUH",tad,duh,"tad,duh",34.3,34.3,101,
JOB,NAY,"JOB,NAY",pug,asp,"pug,asp",29,29,77,
ACT,ASH,"ACT,ASH",act,mid,"act,mid",29.6,29.6,83,1
MAC,POP,"MAC,POP",mac,pop,"mac,pop",28.7,28.7,240,
TOY,DUB,"TOY,DUB",toy,dub,"toy,dub",31.9,31.9,163,
LAM,ASH,"LAM,ASH",ram,mid,"ram,mid",30,30,186,
ACE,BRO,"ACE,BRO",ace,rag,"ace,rag",34.8,34.8,213,1
RIB,FOG,"RIB,FOG",dim,mat,"dim,mat",29.5,29.5,31,
WET,BRO,"WET,BRO",poi,rag,"poi,rag",31.6,31.6,161,
LAB,YAK,"LAB,YAK",mod,til,"mod,til",29.8,29.8,187,
ACE,EYE,"ACE,EYE",ace,pun,"ace,pun",34.5,34.5,214,1
ACT,LAM,"ACT,LAM",act,ram,"act,ram",30.8,30.8,81,1
ERA,JUG,"ERA,JUG",aby,ant,"aby,ant",32,32,26,1
ERA,RIB,"ERA,RIB",aby,dim,"aby,dim",30.8,30.8,27,1
YES,EON,"YES,EON",tab,mic,"tab,mic",31.8,31.8,111,
ACE,DUI,"ACE,DUI",ace,pix,"ace,pix",43.5,43.5,212,1
LAX,ASH,"LAX,ASH",pew,mid,"pew,mid",33.7,33.7,194,
ACE,IVY,"ACE,IVY",ace,guy,"ace,guy",48.4,48.4,211,1
HOW,WAR,"HOW,WAR",cry,pow,"cry,pow",29.6,29.6,224,
ZAP,PRO,"ZAP,PRO",cue,pro,"cue,pro",30.4,30.4,169,
GIG,AIR,"GIG,AIR",gig,air,"gig,air",31.6,31.6,96,
GOO,FIG,"GOO,FIG",goo,hat,"goo,hat",33.8,33.8,293,
EVE,OLD,"EVE,OLD",had,hen,"had,hen",40.6,40.6,130,
PLY,JUG,"PLY,JUG",ply,ant,"ply,ant",35.7,35.7,48,
WET,ELF,"WET,ELF",poi,tan,"poi,tan",49.3,49.3,155,
BOA,WAR,"BOA,WAR",tie,pow,"tie,pow",31.8,31.8,229,
ZAP,YAK,"ZAP,YAK",cue,til,"cue,til",32,32,172,
NIL,JOB,"NIL,JOB",tea,pug,"tea,pug",30,30,40,
WET,EON,"WET,EON",poi,mic,"poi,mic",31.6,31.6,159,
GOO,PRO,"GOO,PRO",goo,pro,"goo,pro",34.7,34.7,298,
HAM,ZZZ,"HAM,ZZZ",ham,ark,"ham,ark",40,40,206,
LAX,GIN,"LAX,GIN",pew,gin,"pew,gin",50.9,50.9,188,
RIB,JUG,"RIB,JUG",dim,ant,"dim,ant",40.9,40.9,30,
BUG,LAB,"BUG,LAB",tap,mod,"tap,mod",35.7,35.7,183,
LAW,LIE,"LAW,LIE",cot,lie,"cot,lie",49,49,4,
MOP,DUH,"MOP,DUH",ass,duh,"ass,duh",32.1,32.1,106,
