jascha name 1,jascha name 2,jascha (new) bar,brian 1,brian 2,brian (old) bar,length (text from sticker),length (decimal),step,is this bar needed on 1/10/2015?
MAD,CHI,"MAD,CHI",mad,ran,"mad,ran",31.2,31.2,376,
DUI,SUN,"DUI,SUN",pix,tom,"pix,tom",31.2,31.2,391,
ODD,KEG,"ODD,KEG",dug,mob,"dug,mob",31.2,31.2,428,
GUT,MIX,"GUT,MIX",gut,mix,"gut,mix",31.2,31.2,483,
SOY,DUH,"SOY,DUH",low,duh,"low,duh",31.3,31.3,20,
ERA,AHI,"ERA,AHI",aby,tug,"aby,tug",31.3,31.3,28,1
RUG,FOR,"RUG,FOR",log,maw,"log,maw",31.3,31.3,399,
NOM,ARM,"NOM,ARM",cut,arm,"cut,arm",31.4,31.4,321,
BIO,RAD,"BIO,RAD",hem,rad,"hem,rad",31.4,31.4,476,
GUT,MAY,"GUT,MAY",gut,may,"gut,may",31.4,31.4,482,
AGE,DOG,"AGE,DOG",age,dog,"age,dog",31.4,31.4,528,1
SEX,PHI,"SEX,PHI",loo,quo,"loo,quo",31.4,31.4,506,
CAB,OAK,"CAB,OAK",pin,her,"pin,her",31.4,31.4,627,
GIN,SAY,"GIN,SAY",gin,top,"gin,top",31.5,31.5,205,
OIL,FLY,"OIL,FLY",cub,mar,"cub,mar",31.5,31.5,284,
HOT,JAM,"HOT,JAM",hog,tot,"hog,tot",31.5,31.5,254,
DUI,DIG,"DUI,DIG",pix,dig,"pix,dig",31.5,31.5,388,
GUT,HEX,"GUT,HEX",gut,hex,"gut,hex",31.5,31.5,484,
DOG,BAR,"DOG,BAR",dog,tin,"dog,tin",31.5,31.5,593,
LAX,HAM,"LAX,HAM",pew,ham,"pew,ham",31.6,31.6,193,
LAX,MAD,"LAX,MAD",pew,mad,"pew,mad",31.6,31.6,195,
WET,BRO,"WET,BRO",poi,rag,"poi,rag",31.6,31.6,161,
GIG,AIR,"GIG,AIR",gig,air,"gig,air",31.6,31.6,96,
WET,EON,"WET,EON",poi,mic,"poi,mic",31.6,31.6,159,
ZAP,HOT,"ZAP,HOT",cue,hog,"cue,hog",31.6,31.6,171,
ICE,MAD,"ICE,MAD",dew,mad,"dew,mad",31.6,31.6,375,
ELK,USE,"ELK,USE",pit,toe,"pit,toe",31.6,31.6,539,
NOM,DIG,"NOM,DIG",cut,dig,"cut,dig",31.7,31.7,322,
SEX,ROB,"SEX,ROB",loo,din,"loo,din",31.7,31.7,505,
YES,EON,"YES,EON",tab,mic,"tab,mic",31.8,31.8,111,
BOA,WAR,"BOA,WAR",tie,pow,"tie,pow",31.8,31.8,229,
YES,POP,"YES,POP",tab,pop,"tab,pop",31.8,31.8,115,
ADO,TOY,"ADO,TOY",ado,toy,"ado,toy",31.8,31.8,71,1
RUG,ALL,"RUG,ALL",log,all,"log,all",31.8,31.8,402,
TOY,DUB,"TOY,DUB",toy,dub,"toy,dub",31.9,31.9,163,
NOR,FIG,"NOR,FIG",ads,hat,"ads,hat",31.9,31.9,349,1
GAS,TUX,"GAS,TUX",ape,dip,"ape,dip",31.9,31.9,427,
CUP,PAW,"CUP,PAW",cup,put,"cup,put",31.9,31.9,588,
GUN,FRO,"GUN,FRO",gun,apt,"gun,apt",31.9,31.9,519,
ERA,JUG,"ERA,JUG",aby,ant,"aby,ant",32,32,26,1
ZAP,YAK,"ZAP,YAK",cue,til,"cue,til",32,32,172,
REF,DRY,"REF,DRY",lob,dry,"lob,dry",32,32,138,
RUG,HIP,"RUG,HIP",log,hip,"log,hip",32,32,400,
MOP,DUH,"MOP,DUH",ass,duh,"ass,duh",32.1,32.1,106,
JAR,WHY,"JAR,WHY",aft,hoe,"aft,hoe",32.1,32.1,612,1
ELF,BIO,"ELF,BIO",tan,hem,"tan,hem",32 1/8,32.125,275,"DUB,WAR"
