Node,X,Y,Z,Subnodes,Neighbor_Nodes,Bars,Physical_Bars,Physical_Nodes,Ground
TAR,68.02249859,-76.41374802,-8.592402372,TAR-8_TAR-11,KEG_PHI_SEX_WHY_WAS,KEG-TAR_PHI-TAR_SEX-TAR_TAR-WHY_TAR-WAS,KEG-TAR-11_PHI-TAR-11_TAR-WAS-11_KEG-TAR-8_PHI-TAR-8_SEX-TAR-8_TAR-WHY-8,KEG-11_PHI-11_WAS-11_KEG-8_PHI-8_SEX-8_WHY-8,0
JOY,84.05906559,108.367809,-32.10448937,JOY-1,BIO_DIG_RAW,BIO-JOY_DIG-JOY_JOY-RAW,BIO-JOY-1_JOY-RAW-1_DIG-JOY-2,BIO-1_RAW-1_DIG-2,0
PRO,-20.54790941,-114.716143,50.09094763,PRO-13,ALL_HOT_PIG_YAK,ALL-PRO_HOT-PRO_PIG-PRO_PRO-YAK,HOT-PRO-13_PIG-PRO-13_PRO-YAK-13_ALL-PRO-10,HOT-13_PIG-13_YAK-13_ALL-10,0
PAW,-113.3547044,18.42387798,-36.97350437,PAW-4,CUP_DAY_DOG_SAY_VAN,CUP-PAW_DAY-PAW_DOG-PAW_PAW-SAY_PAW-VAN,CUP-PAW-4_DAY-PAW-4_DOG-PAW-4_PAW-SAY-4_PAW-VAN-4,CUP-4_DAY-4_DOG-4_SAY-4_VAN-4,0
TAX,-96.35106441,69.70448498,-14.31714737,TAX-4_TAX-3,FLY_GIN_MOM_SAY,FLY-TAX_GIN-TAX_MOM-TAX_SAY-TAX,FLY-TAX-3_MOM-TAX-3_GIN-TAX-4_SAY-TAX-4,FLY-3_MOM-3_GIN-4_SAY-4,0
PIE,18.90968059,136.201273,-30.11467737,PIE-1,GAL_NIX_OVA_RAD_RUM,GAL-PIE_NIX-PIE_OVA-PIE_PIE-RAD_PIE-RUM,GAL-PIE-1_NIX-PIE-1_OVA-PIE-1_PIE-RAD-1_PIE-RUM-1,GAL-1_NIX-1_OVA-1_RAD-1_RUM-5,1
SAD,-46.30678341,-142.987594,11.08167163,SAD-10,ALL_GOO_HIP_KEY_WOW,ALL-SAD_GOO-SAD_HIP-SAD_KEY-SAD_SAD-WOW,ALL-SAD-10_GOO-SAD-10_HIP-SAD-10_SAD-WOW-10_KEY-SAD-9,ALL-10_GOO-10_HIP-10_WOW-10_KEY-9,0
RAW,76.51529459,115.720687,-61.04676337,RAW-1,FRO_JOY_LEG_SPY,FRO-RAW_JOY-RAW_LEG-RAW_RAW-SPY,FRO-RAW-1_JOY-RAW-1_LEG-RAW-1_RAW-SPY-1,FRO-1_JOY-1_LEG-1_SPY-1,0
SAY,-108.8266474,31.44797198,-6.289134372,SAY-4,PAW_TAX_WIZ_ZIG,PAW-SAY_SAY-TAX_SAY-WIZ_SAY-ZIG,PAW-SAY-4_SAY-TAX-4_SAY-WIZ-4_SAY-ZIG-4,PAW-4_TAX-4_WIZ-4_ZIG-4,0
TAG,101.8871626,36.89463698,-54.28216537,TAG-2,CIS_DUI_FOX_ORC_TUB,CIS-TAG_DUI-TAG_FOX-TAG_ORC-TAG_TAG-TUB,CIS-TAG-2_DUI-TAG-2_FOX-TAG-2_ORC-TAG-2_TAG-TUB-2,CIS-2_DUI-2_FOX-2_ORC-2_TUB-2,0
