LAW,LIE,1
LIE,OLD,1
OLD,EVE,-1
LAW,OLD,1
OLD,TAU,1
LAW,TAU,1
LAW,RIB,2
RIB,FOG,-1
TAU,FOG,2
LAW,ERA,2
ERA,RIB,-1
RIB,IRE,-2
LAW,IRE,1
IRE,ERA,-3
IRE,EVE,0
EVE,LIE,-1
LAW,GIG,1
LIE,GIG,-1
GIG,IRE,-2
ERA,GIG,-1
LAW,EVE,-3
EVE,GIG,3
