crossbars not in specific module,
ACE,DUI
ADO,WET
ADO,ELF
AGE,CUP
AHI,JUG
ALL,PRO
ARM,BRO
ART,KIT
ASH,HAM
ASK,FRO
BAM,CIS
BOX,LID
BOX,EGO
BUG,TAU
BUG,ZAP
CAB,YAY
CHI,MAD
CUP,SIR
DIG,JOY
EVE,FAX
EYE,GAS
FAN,FUN
FLU,SIR
FLY,WIZ
FRO,OFF
GAS,IVY
GAS,TUX
GEL,PHI
GIG,YES
HUG,SIR
HUG,LID
ICE,MAD
INK,SHY
IVY,LUG
JAM,MOO
KEY,SAD
LAM,TAU
LAM,TRY
LAW,SOY
NEW,USE
OAR,ZIG
OFF,WHO
PIE,RUM
TAX,VOW
VOW,WIZ
WIZ,ZZZ
