# edge,length (in)
EGG-RUG,33.25
EGG-PIG,34.4
EGG-FOR,38.8
EGG-MOO,34.2
EGO-GYM,33.125
EGO-MOM,30.9
EGO-LID,35.0
EGO-OAR,43.9
ELF-WET,49.3
ELF-SPY,49.8
ELF-PIE,49.9
ELF-GAL,32.5
ELF-WAR,33.4
ELF-RAD,35.1
ELF-HOW,41.0
ELF-NOM,43.2
ELK-WIG,37.5
ELK-SIR,63.125
ELK-NOR,47.9
ELK-USE,31.6
ELK-KIT,32.3
ELK-TAT,43.0
ELK-WOW,58.5
ELK-ONO,35.9
EON-YES,31.8
EON-WET,31.6
EON-POP,40.2
EON-NIL,41.2
EON-TOY,40.2
ERA-IRE,32.5
ERA-JUG,32.0
ERA-RIB,30.8
ERA-YES,45.3
ERA-SOY,42.1
ERA-NIL,42.8
ERA-GIG,52.1
ERA-PLY,54.9
ERA-LAW,46.1
ETA-TUX,33.75
ETA-LUG,50.7
ETA-IVY,46.4
ETA-FOX,33.5
ETA-PAY,33.6
ETA-TAG,51.5
ETA-JAR,45.6
ETA-WIN,34.2
EVE-LAW,29.8
EVE-FAX,29.2
EVE-OLD,40.6
EVE-GIG,33.5
EVE-IRE,43.1
EVE-LIE,37.3
EYE-GAS,29.6
EYE-SUN,30.2
EYE-FIX,34.2
EYE-IVY,33.3
EYE-POP,32.8
FAN-VOW,35.375
FAN-MOP,29.3
FAN-PLY,36.0
FAN-FUN,32.6
FAN-ZZZ,32.3
FAN-NAN,33.2
FAX-ZOO,30.7
FAX-LIE,36.6
FAX-GIG,35.0
FEW-HOW,32.3
FEW-PIE,29.2
FEW-RUM,31.2
FEW-GAL,30.8
FEW-SHY,40.0
FIG-KEY,35.375
FIG-GOO,33.8
FIG-NOR,31.9
FIG-YAK,31.1
FIX-MAC,32.25
FIX-ODD,33.6
FIX-POP,34.5
FIX-IVY,47.0
FIX-GAS,32.6
FIX-GIG,45.7
FIX-LUG,45.3
FIX-YES,46.5
FLU-HUG,33.75
FLU-SIR,36.875
FLU-VAN,34.4
FLY-OIL,31.5
FLY-VOW,45.2
FLY-OAR,48.5
FLY-TAX,32.9
FLY-WIZ,41.1
FOG-TAU,33.0
FOG-LAW,30.6
FOG-TRY,29.0
FOG-RIB,29.5
FOG-SOY,36.3
FOG-OLD,42.5
FOR-OAK,33.75
FOR-GET,35.25
FOR-RUG,31.3
FOR-HIP,35.2
FOX-SKY,28.2
FOX-IVY,33.3
FOX-TUX,32.5
FOX-TAG,34.9
FRO-RAW,32.25
FRO-OFF,33.5
FRO-WHO,37.1
FRO-GUN,31.9
FUN-NAY,32.2
FUN-PLY,37.0
FUN-REF,33.7
FUN-VOW,35.0
GAL-PIE,33.5
GAL-HOW,29.6
GAL-WAR,29.9
GAL-RAD,29.0
GAS-IVY,33.75
GAS-ODD,33.1
GAS-LUG,32.6
GAS-TUX,31.9
GEL-SEX,32.875
GEL-PHI,35.3
GEL-ROB,39.3
GEL-MOO,34.0
GET-OAK,34.5
GET-HIP,34.75
GET-RUG,46.4
GET-WOW,54.3
GET-NEW,35.4
GIG-IRE,32.3
GIG-YES,50.0
GIG-LIE,55.5
GIG-MAC,33.5
GIG-LAW,39.7
GIN-WIZ,33.625
GIN-SAY,31.5
GIN-NAN,45.8
GIN-LAX,50.9
GIN-TAX,51.4
GIN-ICE,35.3
GIN-ZZZ,32.6
GIN-VOW,49.0
GIN-HAM,43.4
GOO-PRO,34.7
GOO-ZAP,45.0
GOO-YAK,33.9
GOO-RUG,46.5
GOO-NOR,45.7
GOO-KEY,34.4
GOO-SAD,33.8
GOO-PIG,52.9
GOO-WOW,51.8
GUN-JOY,32.125
GUN-RAW,34.75
GUN-WHO,51.5
GUN-OFF,42.7
GUN-NOM,46.8
GUN-SPY,49.1
GUN-TAG,54.4
GUN-TUB,36.2
GUT-INK,33.0
GUT-MAY,31.4
GUT-HEX,31.5
GUT-WAX,50.0
GUT-MIX,31.2
GUT-RUM,46.1
GUT-SIP,43.5
GUT-OIL,52.6
GUT-MOM,50.3
GYM-VAN,34.75
GYM-TAX,54.2
GYM-OAR,42.4
GYM-PAW,43.5
GYM-HUG,47.2
GYM-MOM,44.3
GYM-ZIG,34.7
GYM-LID,51.6
HAM-NAN,32.875
HAM-LAX,31.6
HAM-ZZZ,40.0
HAM-ICE,40.1
HAY-JAR,29.1
HAY-WIN,34.5
HAY-YAY,36.0
HAY-SAW,39.6
HEX-SIP,33.1
HEX-MAY,35.6
HEX-WAX,36.2
HEX-MIX,39.2
HIP-SAD,37.375
HIP-WOW,35.7
HIP-RUG,32.0
HIP-NEW,35.1
HIT-SUN,33.875
HIT-NOM,34.6
HOT-PRO,35.375
HOT-PIG,34.4
HOT-ZAP,31.6
HOT-JAM,31.5
HOT-OLD,39.0
HOT-LIE,36.3
