TRY,984.0589,-15.7833,146.3019
TUB,1123.756,66.64828,34.9997
TUX,1123.994,-8.39671,54.66006
USE,955.1268,-91.018,26.60036
VAN,910.1172,26.54828,5.533801
VOW,956.5702,71.79309,104.0583
WAR,1042.704,118.9947,98.60428
WAS,1089.307,-73.1913,94.12395
WAX,961.6981,113.6769,-15.8127
WET,1072.255,75.40462,104.2479
WHO,1074.251,110.138,-6.21827
WHY,1109.416,-53.4571,56.93411
WIG,938.1049,-95.3594,57.43662
WIN,1112.925,-34.1518,12.11974
WIZ,928.3493,64.79047,94.43172
WOW,960.9302,-117.483,59.12127
YAK,972.63,-83.1674,125.4608
YAY,1068.041,-71.2831,24.56358
YES,1070.087,28.57241,115.7723
ZAP,998.8243,-76.6567,125.3984
ZIG,911.6079,52.44412,46.98501
ZOO,1070.455,-70.3595,119.9001
ZZZ,943.9408,46.67763,116.3683
